name,date
mink/USA/UT-20-023279-001/2020,2020-08-14
mink/USA/UT-20-022930-005/2020,2020-08-10
mink/USA/UT-20-022930-009/2020,2020-08-10
USA/AZ-TG814007/2021,2021-02-17
cat/USA/AZ-TG787435/2021,2021-03-16
USA/NY-PRL-2021_03_15_00I05/2021,2021-03-12
Qatar/QA-QU_16-2-A2/2021,2021-01-15
DRC/254881/2021,2021-03-28
Philippines/PH-PGC-10080/2021,2021-03-05
Philippines/PH-PGC-65580/2021,2021-07-16
South_Africa/NHLS-UCT-GS-B363/2021,2021-03-23
USA/WA-UW-66898/2021,2021-03-13
Slovakia/UKBA-2884/2021,2021-04-19
Germany/NW-RKI-I-106144/2021,2021-04-21
Uganda/UG367/2021,2021-03-01
Spain/CL-COV06211/2021,2021-06-15
Reunion/CHU7210633049/2021,2021-06-16
France/IDF-IPP07325/2021,2021-03-03
Belgium/rega-9055/2021,2021-05-07
Netherlands/NB-RIVM-22840/2021,2021-03-25
Belgium/rega-10065/2021,2021-03-24
Austria/CeMM7840/2021,2021-04-14
South_Africa/VIDA-KRISP-K011196/2021,2021-02-01
Zimbabwe/CERI-KRISP-K011548/2020,2020-12-28
USA/WA-CDC-UW21050688417/2021,2021-05-06
France/HDF-HMN-21072120284/2021,2021-07-12
tiger/USA/NY-P3/2020,2020-04-04
USA/CA-CDC-4097522-001/2020,2020-06-09
Austria/CeMM0694/2020,2020-04-18
USA/CA-CZB-14801/2020,2020-11-16
USA/TX-DSHS-0876/2020,2020-06-16
USA/FL-BPHL-2838/2020,2020-07-20
Canada/ON-PHL-20-00212/2020,2020-05-15
USA/MD-MDH-2788/2020,2020-12-01
USA/TX-HMH-MCoV-43406/2020,2020-07-13
USA/TX-HMH-MCoV-44884/2020,2020-07-27
USA/WI-WSLH-200518/2020,2020-05-25
USA/CA-CDC-3744738-001/2020,2020-06-04
USA/VA-CDC-LC0000689/2020,2020-12-27
USA/MI-MDHHS-SC21306/2020,2020-04-02
USA/FL-Miami-579/2021,2021-05-15
USA/VT-21-030629-CR-01/2020,2020-04-03
cat/Spain/CT-IrsiCaixa-G5/2020,2020-04-23
Morocco/HMIMV-00318/2020,2020-12-07
mink/Lithuania/MR-LUHS-Eilnr1490420/2020,2020-11-15
mink/Lithuania/MR-LUHS-Eilnr1490415/2020,2020-11-15
mink/Lithuania/MR-LUHS-Eilnr1490411/2020,2020-11-15
USA/PA-VSP3154/2020,2020-05-27
USA/WI-WSLH-200077/2020,2020-04-21
USA/NY-NYUMC491/2020,2020-03-18
USA/LA-UW-5500165/2020,2020-06-09
USA/TX-HMH-MCoV-40671/2020,2020-07-22
dog/USA/TX-TAMU-149-20-024807-001/2020,2020-08-21
USA/TX-HMH-MCoV-42620/2020,2020-07-19
USA/VA-DCLS-0449/2020,2020-05-04
dog/USA/GA-20-017487-002/2020,2020-06-22
USA/TX-HMH-MCoV-43647/2020,2020-07-05
USA/TX-HMH-3552/2020,2020-06-14
USA/TX-HMH-MCoV-43384/2020,2020-07-13
USA/TX-HMH-MCoV-47822/2020,2020-07-17
USA/NY-NYUMC598/2020,2020-04-03
dog/USA/20-021507-001/2020,2020-07-22
USA/WA-UW-2761/2020,2020-04-15
Indonesia/JB-WJHL-ITB-A85977/2021,2021-01-19
USA/CA-SEARCH-8653/2020,2020-12-11
USA/CA-SEARCH-53380/2021,2021-08-31
Slovenia/250459/2020,2020-12-03
Slovenia/237969/2020,2020-11-27
Saudi_Arabia/KAIMRC02/2020,2020-03-10
USA/WA-UW-10116/2020,2020-05-29
USA/TX-HMH-MCoV-45167/2020,2020-07-24
USA/NY-PRL-2021_0611_52O02/2020,2020-12-28
dog/USA/TX-TAMU-205-20-028754-002/2020,2020-09-24
USA/TX-HMH-MCoV-30337/2020,2020-12-21
cat/USA/TX-TAMU-078/2020,2020-07-29
USA/CA-CDPH-UC1279/2020,2020-12-18
USA/OR-OHSU-3239/2020,2020-10-07
cat/USA/KS-21-000218-001/2021,2021-01-04
cat/USA/TX-TAMU-122-20-024801-002/2020,2020-08-13
cat/USA/FL-BPHL-1081/2021,2021-02-22
cat/USA/FL-BPHL-1082/2021,2021-02-22
cat/USA/FL-BPHL-1083/2021,2021-02-22
USA/CA-CZB-27504/2021,2021-01-16
tiger/USA/TN-20-031498-003/2020,2020-10-27
tiger/USA/TN-20-031353-001/2020,2020-10-19
tiger/USA/TN-20-031353-002/2020,2020-10-19
dog/USA/CT-CVMDL-1/2021,2021-02-12
USA/TX-HMH-MCoV-32400/2020,2020-12-19
USA/TX-HMH-MCoV-24936/2021,2021-01-20
deer/USA/IA-204669/2020,2020-12-09
dog/USA/TX-TAMU-282-20-032807-012/2020,2020-10-22
deer/USA/IA-208099/2020,2020-11-24
deer/USA/IA-208095/2020,2020-11-24
dog/USA/KS-20-035363-001/2020,2020-12-15
cat/USA/TX-TAMU-212-20-029604-001/2020,2020-10-06
dog/USA/TX-TAMU-173-20-028046-004/2020,2020-09-14
deer/USA/IA-208334/2020,2020-12-17
deer/USA/IA-208331/2020,2020-11-18
deer/USA/IA-208103/2020,2020-11-24
deer/USA/IA-208116/2020,2020-12-10
deer/USA/IA-208105/2020,2020-11-24
deer/USA/IA-208113/2020,2020-12-10
deer/USA/IA-208110/2020,2020-12-10
deer/USA/IA-208101/2020,2020-11-24
deer/USA/IA-208106/2020,2020-11-24
deer/USA/IA-208102/2020,2020-11-24
deer/USA/IA-208112/2020,2020-12-10
deer/USA/IA-208107/2020,2020-11-24
deer/USA/IA-208111/2020,2020-12-10
deer/USA/IA-208115/2020,2020-12-10
deer/USA/IA-208329/2020,2020-11-17
deer/USA/IA-208104/2020,2020-11-24
deer/USA/IA-208114/2020,2020-12-10
deer/USA/IA-208117/2020,2020-12-23
deer/USA/IA-208109/2020,2020-12-10
deer/USA/IA-208100/2020,2020-11-24
deer/USA/IA-208108/2020,2020-12-10
deer/USA/IA-208330/2020,2020-11-17
deer/USA/IA-206978/2020,2020-12-28
deer/USA/IA-207437/2020,2020-10-31
deer/USA/OH-OSU-0109/2021,2021-02-02
deer/USA/OH-OSU-0335/2021,2021-02-25
deer/USA/OH-OSU-0336/2021,2021-02-25
deer/USA/OH-OSU-0341/2021,2021-02-25
deer/USA/OH-OSU-0343/2021,2021-02-25
deer/USA/OH-OSU-0344/2021,2021-02-25
deer/USA/OH-OSU-0340/2021,2021-02-25
mink/USA/OR-20-034329-009/2020,2020-11-24
mink/USA/OR-20-034329-008/2020,2020-11-24
mink/USA/OR-20-034329-005/2020,2020-11-24
mink/USA/OR-20-034329-010/2020,2020-11-24
snow_leopard/USA/KY-20-035685-003/2020,2020-12-04
deer/USA/IA-207770/2020,2020-12-02
cat/USA/AR-21-001379-001/2021,2021-01-07
cat/USA/FL-21-003328-001/2021,2021-01-26
Spain_and_plub/CT_LabRefCat-1691729/2021,2021-12-18
deer/USA/OH-OSU-0025/2021,2021-01-26
deer/USA/OH-OSU-0212/2021,2021-02-24
deer/USA/IA-207253/2020,2020-11-30
deer/USA/IA-205795/2020,2020-12-07
deer/USA/IA-207707/2020,2020-12-10
deer/USA/IA-208043/2020,2020-10-08
deer/USA/IA-208098/2020,2020-11-24
deer/USA/IA-207579/2020,2020-11-17
deer/USA/IA-207391/2020,2020-11-29
deer/USA/IA-207531/2020,2020-11-08
deer/USA/IA-207589/2020,2020-11-24
deer/USA/IA-207431/2020,2020-10-28
deer/USA/IA-207530/2020,2020-11-07
deer/USA/IA-207649/2020,2020-12-05
deer/USA/IA-207150/2020,2020-11-15
deer/USA/OH-OSU-0141/2021,2021-02-16
deer/USA/OH-OSU-0078/2021,2021-02-01
deer/USA/OH-OSU-0079/2021,2021-02-01
deer/USA/IA-206407/2020,2020-11-06
tiger/USA/IN-21-003442-002/2021,2021-02-02
deer/USA/IA-205769/2020,2020-12-08
deer/USA/IA-204472/2020,2020-12-05
deer/USA/IA-204473/2020,2020-12-05
deer/USA/IA-208017/2020,2020-09-28
deer/USA/IA-204364/2020,2020-12-07
deer/USA/IA-205750/2020,2020-12-07
deer/USA/IA-204668/2020,2020-12-09
USA/CA-CDPH-2000013546/2020,2020-12-15
USA/TX-HMH-MCoV-22788/2020,2020-12-29
USA/TX-HMH-MCoV-22428/2021,2021-01-11
deer/USA/IA-207337/2020,2020-09-30
deer/USA/IA-204363/2020,2020-12-07
deer/USA/IA-206527/2020,2020-10-15
USA/AK-PHL6549/2020,2020-11-30
USA/TX-CDC-4061505-001/2020,2020-06-01
USA/FL-BPHL-14773/2021,2021-01-26
USA/LA-BIE-LSUH000777/2020,2020-04-12
USA/CA-Stanford-04_S33/2021,2021-01-11
USA/IL-IDPH-JOH-C-001082/2020,2020-05-11
USA/IL-IDPH-UNI-C-000976/2020,2020-05-11
USA/IL-IDPH-UNI-C-001279/2020,2020-05-23
USA/IL-IDPH-MCH-S-000771/2020,2020-05-20
USA/ID-IBL-617605/2020,2020-04-29
USA/TX-HMH-MCoV-43325/2020,2020-07-13
USA/AZ-TG311191/2020,2020-05-14
USA/AZ-ASPHL-836/2020,2020-05-20
cat/USA/TX-TAMU-252-20-031373-005/2020,2020-10-15
cat/USA/TX-TAMU-250-20-031373-004/2020,2020-10-15
Canada/ON-PHL-21-44225/2021,2021-12-01
USA/MI-MDHHS-SC23517/2020,2020-11-29
USA/MI-MDHHS-SC22669/2020,2020-11-29
mink/USA/MI-CDC-3886954-001/2020,2020-10-17
mink/USA/MI-CDC-3886755-001/2020,2020-10-15
mink/USA/MI-CDC-3886572-001/2020,2020-10-13
mink/USA/MI-CDC-3886875-001/2020,2020-10-16
mink/USA/MI-CDC-3886922-001/2020,2020-10-16
mink/USA/MI-CDC-3886765-001/2020,2020-10-15
mink/USA/MI-CDC-3886552-001/2020,2020-10-13
mink/USA/MI-CDC-3886495-001/2020,2020-10-13
mink/USA/MI-CDC-3886496-001/2020,2020-10-13
mink/USA/MI-CDC-3886648-001/2020,2020-10-14
mink/USA/MI-CDC-3886398-001/2020,2020-10-15
mink/USA/MI-CDC-3886810-001/2020,2020-10-16
mink/USA/MI-CDC-3886725-001/2020,2020-10-16
mink/USA/MI-CDC-3886516-001/2020,2020-10-13
mink/USA/MI-CDC-3886711-001/2020,2020-10-13
mink/USA/MI-CDC-3886779-001/2020,2020-10-15
mink/USA/MI-CDC-3886624-001/2020,2020-10-14
mink/USA/MI-CDC-3886453-001/2020,2020-10-13
mink/USA/MI-CDC-3886391-001/2020,2020-10-15
mink/USA/MI-CDC-3886891-001/2020,2020-10-16
mink/USA/MI-20-028629-002/2020,2020-09-28
mink/USA/MI-CDC-3886728-001/2020,2020-10-14
mink/USA/MI-CDC-3886434-001/2020,2020-10-16
mink/USA/MI-CDC-3886709-001/2020,2020-10-14
mink/USA/MI-CDC-3886940-001/2020,2020-10-18
mink/USA/MI-CDC-3886544-001/2020,2020-10-13
mink/USA/MI-CDC-3886799-001/2020,2020-10-15
mink/USA/MI-CDC-3886613-001/2020,2020-10-14
mink/USA/MI-CDC-3886693-001/2020,2020-10-14
mink/USA/MI-CDC-3886492-001/2020,2020-10-13
mink/USA/MI-CDC-3886719-001/2020,2020-10-14
mink/USA/MI-CDC-3886694-001/2020,2020-10-14
mink/USA/MI-CDC-3886641-001/2020,2020-10-14
mink/USA/MI-CDC-3886724-001/2020,2020-10-15
mink/USA/MI-CDC-3886727-001/2020,2020-10-14
mink/USA/MI-CDC-3886720-001/2020,2020-10-14
mink/USA/MI-CDC-3886602-001/2020,2020-10-14
mink/USA/MI-CDC-3886941-001/2020,2020-10-16
mink/USA/MI-CDC-3886707-001/2020,2020-10-14
mink/USA/MI-CDC-3886603-001/2020,2020-10-14
mink/USA/MI-CDC-3886734-001/2020,2020-10-15
mink/USA/MI-CDC-3886953-001/2020,2020-10-16
mink/USA/MI-CDC-3886955-001/2020,2020-10-18
mink/USA/MI-CDC-3886793-001/2020,2020-10-15
