task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
175	1c/bdb12d	1232676	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_CONSENSUS (4538)	COMPLETED	0	2022-02-14 11:43:49.209	807ms	0ms	275.9%	3.1 MB	5.4 MB	154.3 KB	60.2 KB
177	bc/ea8db1	1232947	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_CONSENSUS (3165)	COMPLETED	0	2022-02-14 11:43:50.020	1.1s	0ms	200.0%	3.1 MB	5.4 MB	153.3 KB	60.2 KB
181	c4/4be7a0	1232948	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:RENAME_FASTA_HEADER (4538)	COMPLETED	0	2022-02-14 11:43:50.024	1.1s	7ms	76.2%	0	0	124.6 KB	31.1 KB
178	4b/23d49c	1233516	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_CONSENSUS (3182)	COMPLETED	0	2022-02-14 11:43:51.072	1s	0ms	206.5%	3.1 MB	5.4 MB	152.1 KB	60.2 KB
182	3e/1ef5e6	1233517	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:RENAME_FASTA_HEADER (3165)	COMPLETED	0	2022-02-14 11:43:51.074	1.1s	6ms	106.7%	0	0	124.6 KB	31.1 KB
179	2c/e515f2	1233994	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_CONSENSUS (4542)	COMPLETED	0	2022-02-14 11:43:52.105	1.2s	0ms	206.5%	3.1 MB	5.4 MB	152.4 KB	60.2 KB
186	e9/31e0c1	1234001	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:RENAME_FASTA_HEADER (3182)	COMPLETED	0	2022-02-14 11:43:52.111	1.2s	5ms	106.7%	0	0	124.6 KB	31.1 KB
190	ff/b9215a	1234808	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:RENAME_FASTA_HEADER (4542)	COMPLETED	0	2022-02-14 11:43:53.313	938ms	4ms	114.3%	0	0	124.6 KB	31.1 KB
176	b8/b67218	1234804	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MASKFASTA (4534)	COMPLETED	0	2022-02-14 11:43:53.310	1.8s	0ms	123.1%	2.8 MB	11 MB	81.5 KB	30.1 KB
180	1c/f13759	1235709	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_CONSENSUS (4535)	COMPLETED	0	2022-02-14 11:43:55.142	605ms	0ms	188.2%	3.1 MB	5.4 MB	153 KB	60.2 KB
185	f8/c80e6e	1233995	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:CONSENSUS_QC:NEXTCLADE_RUN (4538)	COMPLETED	0	2022-02-14 11:43:52.108	5.3s	5s	100.4%	366.7 MB	585.5 MB	8.4 MB	8.9 MB
189	6d/555925	1235435	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:CONSENSUS_QC:NEXTCLADE_RUN (3165)	COMPLETED	0	2022-02-14 11:43:54.253	4.9s	4s	100.3%	369.2 MB	569.5 MB	8.4 MB	8.9 MB
191	46/6432a3	1236600	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:CONSENSUS_QC:NEXTCLADE_RUN (3182)	COMPLETED	0	2022-02-14 11:43:57.458	4.9s	5s	100.2%	364.1 MB	545.6 MB	8.4 MB	8.8 MB
198	03/276b28	1238035	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:RENAME_FASTA_HEADER (4535)	COMPLETED	0	2022-02-14 11:44:02.353	687ms	5ms	123.1%	0	0	124.6 KB	31.1 KB
184	1f/84be69	1236034	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:CONSENSUS_QC:PANGOLIN (4538)	COMPLETED	0	2022-02-14 11:43:55.749	7.9s	7s	174.2%	424.7 MB	4.7 GB	156.7 MB	288.3 KB
194	bc/8c772b	1237176	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:CONSENSUS_QC:NEXTCLADE_RUN (4542)	COMPLETED	0	2022-02-14 11:43:59.163	5.2s	4s	100.4%	370.6 MB	569.5 MB	8.4 MB	8.9 MB
201	bc/b65eee	1238702	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:CONSENSUS_QC:NEXTCLADE_RUN (4535)	COMPLETED	0	2022-02-14 11:44:03.667	4.9s	4s	100.3%	267.4 MB	368.9 MB	8.4 MB	8.9 MB
183	9b/8864d4	1238698	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:CONSENSUS_QC:PLOT_BASE_DENSITY (4538.consensus.fa)	COMPLETED	0	2022-02-14 11:44:03.664	5.1s	3s	122.2%	393.6 MB	2.5 GB	23.2 MB	2.6 MB
187	19/e3f939	1239631	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:CONSENSUS_QC:PLOT_BASE_DENSITY (3165.consensus.fa)	COMPLETED	0	2022-02-14 11:44:08.765	4.8s	3s	123.8%	349.2 MB	2.4 GB	23.2 MB	2.6 MB
188	cf/1d7cc4	1240094	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:CONSENSUS_QC:PANGOLIN (3165)	COMPLETED	0	2022-02-14 11:44:13.588	1.8s	2s	268.1%	56.4 MB	2.1 GB	27.2 MB	30.4 KB
193	74/647d08	1240546	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:CONSENSUS_QC:PANGOLIN (3182)	COMPLETED	0	2022-02-14 11:44:15.417	1.8s	1s	260.9%	10.8 MB	15.7 MB	27.2 MB	30.4 KB
192	35/92d354	1240819	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:CONSENSUS_QC:PLOT_BASE_DENSITY (3182.consensus.fa)	COMPLETED	0	2022-02-14 11:44:17.233	4.8s	3s	127.4%	355 MB	2.4 GB	23.2 MB	2.6 MB
