task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
51	8d/b6f11a	1629696	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (4658_P0)	COMPLETED	0	2022-03-02 23:10:16.186	24.5s	23s	154.6%	147 MB	243.7 MB	152.1 MB	135.1 MB
54	49/c4256f	1630941	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_GENOME (4645_P0)	COMPLETED	0	2022-03-02 23:10:40.669	1.2s	0ms	98.9%	6.1 MB	12.2 MB	23.7 MB	450.9 KB
53	5c/90fd79	1631167	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_AMPLICON (4645_P0)	COMPLETED	0	2022-03-02 23:10:41.874	1.5s	1s	91.0%	6.7 MB	12.8 MB	23.7 MB	689.6 KB
52	f3/0fb88e	1631388	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (4645_P0)	COMPLETED	0	2022-03-02 23:10:43.391	35.5s	34s	160.2%	274.7 MB	435.6 MB	213.5 MB	189.7 MB
55	c1/d332a8	1632873	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS_TO_VCF (4581_P0)	COMPLETED	0	2022-03-02 23:11:18.877	2.1s	1s	86.5%	11 MB	16.2 MB	9.3 MB	55.8 KB
56	25/3adede	1632890	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS_TO_VCF (4649_P0)	COMPLETED	0	2022-03-02 23:11:18.913	2.1s	1s	89.0%	11.2 MB	16.2 MB	9.3 MB	56 KB
57	5d/b0944b	1633333	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS_TO_VCF (4658_P0)	COMPLETED	0	2022-03-02 23:11:20.997	1.6s	1s	92.5%	11.2 MB	16.2 MB	9.3 MB	63.5 KB
60	f1/eea76e	1633340	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS_TO_VCF (4645_P0)	COMPLETED	0	2022-03-02 23:11:21.016	1.7s	1s	87.1%	11.8 MB	16.8 MB	9.3 MB	54.1 KB
58	74/4f81ab	1633789	NFCORE_VIRALRECON:ILLUMINA:PLOT_MOSDEPTH_REGIONS_GENOME	COMPLETED	0	2022-03-02 23:11:22.744	7.1s	5s	99.2%	319 MB	894.2 MB	24.9 MB	101.3 KB
59	1c/749a8c	1634267	NFCORE_VIRALRECON:ILLUMINA:PLOT_MOSDEPTH_REGIONS_AMPLICON	COMPLETED	0	2022-03-02 23:11:29.797	7.2s	5s	105.7%	333.7 MB	1 GB	24.9 MB	201.6 KB
